Name,State no.,Time,IMR,state_exp,rev_exp_health,state_gdp,fem_1000_mal_I,lit_rate_I
Andhra Pradesh,1,14,39,4.1,52213,857364,939,67.66
,1,13,41,4.2,47446,754409,939,67.66
,1,12,43,4.4,41930,662592,939,67.66
,1,11,46,4.1,36583,583987,939,67.66
,1,10,49,3.9,31455,476835,939,67.66
,1,9,52,3.6,23861,426765,939,67.66
,1,8,54,3.3,20115,364813,939,67.66
,1,7,56,3.3,14945,301035,939,67.66
,1,6,57,3.4,12779,255941,939,67.66
Assam,2,14,54,4,16413,162652,962,73.18
,2,13,55,4,15243,141621,962,73.18
,2,12,55,4.9,12907,125820,962,73.18
,2,11,58,5.2,16586,112688,962,73.18
,2,10,61,5.7,14169,95975,962,73.18
,2,9,64,5,12198,81074,962,73.18
,2,8,66,4.3,10082,71076,962,73.18
,2,7,67,4.2,4904,64692,962,73.18
,2,6,68,3.4,3270,59385,962,73.18
Bihar,3,14,42,3.6,22950,368337,935,63.82
,3,13,43,3.6,21072,313995,935,63.82
,3,12,44,3.5,15037,247318,935,63.82
,3,11,48,3.3,15862,204289,935,63.82
,3,10,52,3.5,14366,162923,935,63.82
,3,9,56,3.5,10287,142279,935,63.82
,3,8,58,4.4,9995,113680,935,63.82
,3,7,60,4.2,8478,100737,935,63.82
,3,6,61,4.5,7602,82490,935,63.82
Chattisgarh,4,14,46,4.3,14824,175961,969,71.04
,4,13,47,4.2,12175,153621,969,71.04
,4,12,48,3.8,8356,132872,969,71.04
,4,11,51,3.6,7792,119420,969,71.04
,4,10,54,3.7,7548,99364,969,71.04
,4,9,57,3.5,4340,96972,969,71.04
,4,8,59,3.2,4277,80255,969,71.04
,4,7,61,3.5,2798,66875,969,71.04
,4,6,63,3.4,2602,53381,969,71.04
Goa,5,14,9,5.3,4718,34965,942,87.4
,5,13,10,5.6,4500,34965,942,87.4
,5,12,11,5.8,3701,36025,942,87.4
,5,11,10,5.6,3466,33605,942,87.4
,5,10,11,5.3,2969,29126,942,87.4
,5,9,10,5.4,2161,25414,942,87.4
,5,8,13,4.6,1474,19565,942,87.4
,5,7,15,4.6,1330,16523,942,87.4
,5,6,16,4.9,1220,14327,942,87.4
Gujarat,6,14,36,4.9,31283,697330,890,79.31
,6,13,38,4.7,30079,697330,890,79.31
,6,12,41,4.2,22192,594563,890,79.31
,6,11,44,4.2,21786,521519,890,79.31
,6,10,48,3.8,15278,431262,890,79.31
,6,9,50,3.1,12172,367912,890,79.31
,6,8,52,3.2,10577,329285,890,79.31
,6,7,53,2.9,9582,283693,890,79.31
,6,6,54,3.1,9179,244736,890,79.31
Haryana,7,14,41,3.7,17960,392894,834,76.64
,7,13,42,3.8,17268,345238,834,76.64
,7,12,44,3.1,10943,301959,834,76.64
,7,11,48,3.2,9654,260621,834,76.64
,7,10,51,3.4,8970,223600,834,76.64
,7,9,54,2.9,6437,182522,834,76.64
,7,8,55,2.6,4794,151596,834,76.64
,7,7,57,2.5,4104,128732,834,76.64
,7,6,60,3.1,3854,108885,834,76.64
Jharrkhand,8,14,37,3.6,10221,189208,948,67.63
,8,13,38,4,8187,164876,948,67.63
,8,12,39,3.8,7565,143891,948,67.63
,8,11,42,4.1,6683,127281,948,67.63
,8,10,44,4.4,7036,100621,948,67.63
,8,9,46,5.1,6292,87794,948,67.63
,8,8,48,5,5070,83950,948,67.63
,8,7,49,6.3,6872,66935,948,67.63
,8,6,50,6.9,6782,60901,948,67.63
Karnataka,9,14,31,4.7,47011,593811,948,75.6
,9,13,32,3.9,33056,524502,948,75.6
,9,12,35,3.9,25893,458894,948,75.6
,9,11,38,3.9,8765,410703,948,75.6
,9,10,41,3.6,16713,337559,948,75.6
,9,9,45,3.8,15070,310312,948,75.6
,9,8,47,3.8,13854,270629,948,75.6
,9,7,48,3.1,10360,227237,948,75.6
,9,6,50,3.3,10041,195904,948,75.6
Kerala,10,14,12,5.2,31542,349338,964,93.91
,10,13,12,5.3,27744,349338,964,93.91
,10,12,12,5.4,24737,307906,964,93.91
,10,11,13,5.1,17503,263773,964,93.91
,10,10,12,4.8,14419,231999,964,93.91
,10,9,12,4.8,13500,202783,964,93.91
,10,8,13,4.5,12601,175141,964,93.91
,10,7,15,4.9,9801,153785,964,93.91
,10,6,14,4.7,8371,136842,964,93.91
Madhya Pradesh,11,14,54,4.3,34383,450900,918,70.63
,11,13,56,4.4,31703,372171,918,70.63
,11,12,59,3.2,21183,311670,918,70.63
,11,11,62,3.6,19621,263396,918,70.63
,11,10,67,3.3,13280,227984,918,70.63
,11,9,70,3.4,11479,197276,918,70.63
,11,8,72,3.5,9812,161479,918,70.63
,11,7,74,3.8,8980,144577,918,70.63
,11,6,76,3.4,8280,124276,918,70.63
Maharashtra,12,14,24,3.9,17492,1372644,894,82.91
,12,13,25,3.9,55709,1372644,894,82.91
,12,12,25,3.6,44840,1199548,894,82.91
,12,11,28,3.6,41818,1035086,894,82.91
,12,10,31,3.3,36181,855751,894,82.91
,12,9,33,3.5,27572,753969,894,82.91
,12,8,34,3.5,25804,684817,894,82.91
,12,7,35,3.1,19753,584498,894,82.91
,12,6,36,3.2,19871,486766,894,82.91
Odisha,13,14,51,3.6,11293,288414,941,73.45
,13,13,53,3.7,17492,255459,941,73.45
,13,12,57,3.2,15632,214583,941,73.45
,13,11,61,3.5,11950,197530,941,73.45
,13,10,65,3.8,11861,162946,941,73.45
,13,9,69,3.5,8002,148491,941,73.45
,13,8,71,3.3,7113,129274,941,73.45
,13,7,73,3.1,5538,101839,941,73.45
,13,6,75,3,3762,85096,941,73.45
Punjab,14,14,26,5.1,21401,319117,846,76.68
,14,13,28,5.3,21112,286809,846,76.68
,14,12,30,4.3,13981,256430,846,76.68
,14,11,34,3.3,11785,226204,846,76.68
,14,10,38,3.2,10145,197500,846,76.68
,14,9,41,3,7510,174039,846,76.68
,14,8,43,2.9,7413,152245,846,76.68
,14,7,44,2.7,7196,127123,846,76.68
,14,6,44,3.4,6298,108637,846,76.68
Rajasthan,15,14,47,5.3,38641,513688,888,67.06
,15,13,49,4.8,31498,459215,888,67.06
,15,12,52,5.1,25119,403422,888,67.06
,15,11,55,4.8,21468,338348,888,67.06
,15,10,59,4.8,19325,265825,888,67.06
,15,9,63,4.8,16828,230949,888,67.06
,15,8,65,4,12025,194822,888,67.06
,15,7,67,4.1,10799,171043,888,67.06
,15,6,68,4.4,9796,142236,888,67.06
Tamil Nadu,16,14,21,4.3,47028,850319,943,80.33
,16,13,21,4.3,44757,744474,943,80.33
,16,12,22,4,35390,665312,943,80.33
,16,11,24,4.8,35092,584896,943,80.33
,16,10,28,4.8,25083,479733,943,80.33
,16,9,31,3.7,18950,401336,943,80.33
,16,8,35,3.3,16087,350819,943,80.33
,16,7,37,3.3,15388,310526,943,80.33
,16,6,37,4.2,11079,257833,943,80.33
Uttar Pradesh,17,14,50,5.1,61844,886410,902,69.72
,17,13,53,5.2,56287,768930,902,69.72
,17,12,57,4.4,43712,679007,902,69.72
,17,11,61,4.8,45200,600164,902,69.72
,17,10,63,5,40918,523394,902,69.72
,17,9,67,4.7,28757,444685,902,69.72
,17,8,69,4.8,29348,383026,902,69.72
,17,7,71,5.7,23681,336317,902,69.72
,17,6,73,5.1,21542,293172,902,69.72
West Bengal,18,14,31,4.6,40356,707848,956,77.08
,18,13,32,4.2,36592,620160,956,77.08
,18,12,32,4.8,31234,538209,956,77.08
,18,11,31,4.8,28875,460959,956,77.08
,18,10,33,4.8,26104,398880,956,77.08
,18,9,35,3.6,17641,341942,956,77.08
,18,8,37,4,17009,299483,956,77.08
,18,7,38,4.1,14089,261682,956,77.08
,18,6,38,3.9,13201,230245,956,77.08
Arunachal Pradesh,19,14,32,3.4,2578,13382,972,66.95
,19,13,33,3.8,2241,12091,972,66.95
,19,12,32,4.4,2300,10619,972,66.95
,19,11,31,4.3,2003,9013,972,66.95
,19,10,32,4.2,2147,7474,972,66.95
,19,9,32,4.3,1648,5687,972,66.95
,19,8,37,3.8,1174,4810,972,66.95
,19,7,40,4.4,874,4108,972,66.95
,19,6,37,3.1,669,3755,972,66.95
Himachal Pradesh,20,14,35,5.4,9618,82585,909,83.78
,20,13,36,5.2,8839,73710,909,83.78
,20,12,38,4.8,6961,64957,909,83.78
,20,11,40,5.1,6322,57452,909,83.78
,20,10,45,4.8,5505,48189,909,83.78
,20,9,44,4.5,4217,41483,909,83.78
,20,8,47,4.4,3791,33963,909,83.78
,20,7,50,4.4,3554,30274,909,83.78
,20,6,49,4.6,3077,27127,909,83.78
JK,21,14,37,5.2,16239,87319,862,68.74
,21,13,39,5.2,14286,75574,862,68.74
,21,12,41,5.2,12066,65759,862,68.74
,21,11,43,5.1,10337,58073,862,68.74
,21,10,45,5.2,8599,48385,862,68.74
,21,9,49,4.8,6579,42315,862,68.74
,21,8,51,5.3,6122,37099,862,68.74
,21,7,52,5.4,5387,33230,862,68.74
,21,6,50,4.5,5055,29920,862,68.74
Manipur,22,14,10,4,2642,11983,936,79.85
,22,13,10,4.4,2432,11983,936,79.85
,22,12,11,5.7,2346,10504,936,79.85
,22,11,14,5,2042,9137,936,79.85
,22,10,16,4.4,1193,8254,936,79.85
,22,9,14,3.5,951,7399,936,79.85
,22,8,12,4.1,935,6783,936,79.85
,22,7,11,2.7,612,6137,936,79.85
,22,6,13,3,702,5718,936,79.85
Meghalaya,23,14,47,4.7,3045,20808,970,75.48
,23,13,49,5.2,2894,18135,970,75.48
,23,12,52,5.4,2566,16412,970,75.48
,23,11,55,6.2,1754,14583,970,75.48
,23,10,59,6,1764,12709,970,75.48
,23,9,58,4.4,1186,11617,970,75.48
,23,8,56,5.4,1164,9735,970,75.48
,23,7,53,5.1,897,8625,970,75.48
,23,6,49,5.5,853,7265,970,75.48
Mizoram,24,14,35,3.2,1647,8053,970,91.58
,24,13,35,3.7,1887,8053,970,91.58
,24,12,34,4.2,1673,7198,970,91.58
,24,11,37,4.2,1608,6388,970,91.58
,24,10,36,7.1,2611,5260,970,91.58
,24,9,37,6.1,1575,4577,970,91.58
,24,8,23,3.9,868,3816,970,91.58
,24,7,25,3.6,730,3290,970,91.58
,24,6,20,3.5,664,2971,970,91.58
Nagaland,25,14,18,3.7,2521,14832,943,80.11
,25,13,18,3.8,2390,14832,943,80.11
,25,12,21,4.3,2178,13203,943,80.11
,25,11,23,4.3,1822,11759,943,80.11
,25,10,26,3.9,1335,10527,943,80.11
,25,9,26,3.8,1207,9436,943,80.11
,25,8,21,4.3,995,8075,943,80.11
,25,7,20,4.2,1054,7257,943,80.11
,25,6,18,4.3,979,6588,943,80.11
Sikkim,26,14,22,4.8,1349,9957,957,82.2
,26,13,24,4.9,1260,9957,957,82.2
,26,12,26,5.7,1139,8616,957,82.2
,26,11,30,4.4,1057,7412,957,82.2
,26,10,34,3.5,1138,6133,957,82.2
,26,9,33,3,752,3229,957,82.2
,26,8,34,2.6,672,2506,957,82.2
,26,7,33,2.5,492,2161,957,82.2
,26,6,30,2.8,461,1993,957,82.2
Tripura,27,14,26,5.2,2970,23855,957,87.75
,27,13,28,6.4,2521,23855,957,87.75
,27,12,29,5.3,2007,20982,957,87.75
,27,11,27,4.4,1878,17868,957,87.75
,27,10,31,4.8,2026,15403,957,87.75
,27,9,34,4.8,1269,13573,957,87.75
,27,8,39,5,1335,11797,957,87.75
,27,7,36,5.1,1020,10914,957,87.75
,27,6,31,4.7,876,9826,957,87.75
Uttarakhand,28,14,32,5.4,8922,132969,890,79.63
,28,13,34,5.9,8436,113958,890,79.63
,28,12,36,4.9,6189,97696,890,79.63
,28,11,38,4.9,6482,83969,890,79.63
,28,10,41,3.9,5105,70730,890,79.63
,28,9,44,4.5,3699,56025,890,79.63
,28,8,48,4.6,3702,45856,890,79.63
,28,7,43,4.8,2409,36795,890,79.63
,28,6,42,4.6,2559,29968,890,79.63
Delhi,29,14,24,10.3,32201,404576,871,86.34
,29,13,25,9.3,26449,348221,871,86.34
,29,12,28,9.9,24285,296957,871,86.34
,29,11,30,9.3,22458,252753,871,86.34
,29,10,33,8,18706,219396,871,86.34
,29,9,35,8.2,14757,189533,871,86.34
,29,8,36,7.2,11856,157947,871,86.34
,29,7,37,8.5,9356,135584,871,86.34
,29,6,35,8.2,7673,115374,871,86.34
Puducherry,30,14,17,6.5,3406,21500,967,86.55
,30,13,17,8.1,2945,17192,967,86.55
,30,12,19,8.9,3045,14630,967,86.55
,30,11,22,7.1,2756,13092,967,86.55
,30,10,22,7.7,2681,12304,967,86.55
